frame,ear,threshold,mov_ear_3,mov_ear_5,mov_ear_7
0,0.33420549812789857,0,,,
1,0.32248483042161974,0,,,
2,0.30483231705485536,0,0.3205075485347912,,
3,0.31253560107891043,0,0.31328424951846184,0.3182422106430873,
4,0.31715280653215233,0,0.31150690822197274,0.31506765838474216,0.32045691976427965
5,0.3183327368361728,0,0.31600704814907854,0.3173016219600879,0.3147284743051325
6,0.33365464829834857,0,0.3230467305555578,0.31515643453189046,0.3132691983392304
7,0.294106379913868,0,0.3153645883494631,0.3151032940481694,0.30949537209053896
8,0.3122698986603055,0,0.31334364229084066,0.307355839404542,0.3022829317847608
9,0.27841553331401525,0,0.2949306039627295,0.2960989958250001,0.2944108906999481
10,0.26204851893846337,0,0.28424465030426127,0.28177776995302306,0.28712710541579156
11,0.26204851893846337,0,0.2675041903969806,0.27642574193966485,0.2722432068018679
12,0.2673462398470773,0,0.2638144259080013,0.25986523380778037,0.26206851336871784
13,0.22946735800088308,0,0.2529540389288078,0.24875883232134086,0.24939474701848127
14,0.2228835258818172,0,0.2398990412432592,0.24105983537537812,0.2444155163634488
15,0.22355353420865,0,0.22530147269711667,0.23736231533344299,0.24052119052917886
16,0.24356091872878738,0,0.22999932627308498,0.2308507149837423,0.23824540606747785
17,0.23478823809857385,0,0.23396756367867036,0.23418084892487698,0.2351089834261803
18,0.24611802770655644,0,0.2414890615113059,0.23868240002011235,0.23814057149497295
19,0.24539128135799432,0,0.2420991823877081,0.24410938807486868,0.24311188348554108
20,0.2506884744824317,0,0.24739926118232733,0.24693374629227005,0.24519513882393593
21,0.25768270981579455,0,0.2512541552187401,0.247603362988038,0.24415277374790012
22,0.23813632157741343,0,0.2488358352918798,0.24563263008603417,0.24895836498433344
23,0.23626436319653737,0,0.2440277981965817,0.2502398491651567,0.2533647372582047
24,0.26842737675360706,0,0.24760935384251917,0.25549468099340145,0.2517722635343169
25,0.27696263362365514,0,0.26055145785793304,0.2508069320883985,0.25356594476846056
26,0.2342439652907803,0,0.2598779918893473,0.2558285163972032,0.2510448307443066
27,0.26324424312143735,0,0.258150280678624,0.25658262608723914,0.2543252687021113
28,0.2400349116467173,0,0.2458410400196446,0.25511702819292703,0.25458394503017195
29,0.2610993872820468,0,0.2547928473500667,0.2473395209667883,0.25277428842461497
30,0.238075097492962,0,0.24640313214057485,0.25164268401157397,0.25226408463958283
31,0.2557597805147087,0,0.25164475509657197,0.2536720768129726,0.2514702535565427
32,0.27339120712843096,0,0.25574202837869997,0.251402524025529,0.2544840462566998
33,0.22868714770949802,0,0.25261271178421235,0.2560508049736271,0.257437257216463
34,0.2843407920225372,0,0.2621397156201552,0.26057726314804663,0.2589986539826167
35,0.26070738836505936,0,0.25791177603236487,0.26383113997412944,0.25767959535359125
36,0.2720291646451215,0,0.2723591150109061,0.25492123596640004,0.2622692414159949
37,0.2288416870897842,0,0.25385941336665496,0.26676126701480707,0.26451656812962654
38,0.2878873029515342,0,0.2629193848954798,0.2677176074350701,0.2733699971828449
39,0.2891224941238524,0,0.26861716138838965,0.27370835997846366,0.27335492479555384
40,0.29066115108202684,0,0.2892236493858042,0.27614958411173907,0.28101888047199985
41,0.2842352853115002,0,0.2880063101724595,0.2932522623138187,0.2834385323027769
42,0.3143550781001806,1,0.29641717149790264,0.29346814721562425,0.28887440114797236
43,0.28896672746056123,0,0.2958523636240808,0.2890222021920842,0.28887771956891556
44,0.2668927690061518,0,0.2900715248556314,0.288472078355306,0.29172846403589553
